SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
100,1.6042707,100003.71,0.11350565,-0.089973748
100,1.6048032,79433.273,0.11110282,-0.067979008
100,1.6048739,63093.824,0.11568929,-0.049193062
100,1.6049356,50122.477,0.11581337,-0.032913886
100,1.6050032,39814.059,0.1159054,-0.018876668
100,1.6050571,31621.139,0.12002842,-0.008240647
100,1.6051124,25116.91,0.12217385,0.000618495
100,1.6051469,19948.785,0.12484568,0.007845121
100,1.6051835,15847.683,0.12690425,0.016660692
100,1.6052177,12590.93,0.13056768,0.023734877
100,1.6052525,10002.226,0.13438883,0.028720794
100,1.6052798,7943.999,0.13887474,0.036889341
100,1.6053002,6307.7339,0.14326593,0.0444635
100,1.6053189,5011.604,0.14812203,0.052850727
100,1.605341,3981.2744,0.1552106,0.061876334
100,1.6053667,3161.0117,0.15995863,0.070029743
100,1.6053917,2510.8032,0.1654278,0.083452724
100,1.6054103,1995.6388,0.16970807,0.096511543
100,1.6054275,1585.5074,0.17474955,0.11332253
100,1.6054476,1258.7913,0.17986898,0.13582122
100,1.605459,1000.3202,0.18687777,0.16263388
100,1.6054709,794.23785,0.19250619,0.1973408
100,1.605486,631.00964,0.19996126,0.23988588
100,1.605498,501.44418,0.20907666,0.29053512
100,1.6055163,398.08914,0.22002125,0.35838556
100,1.6055225,316.31589,0.23505671,0.44137338
100,1.6055419,251.04433,0.25580525,0.54501402
100,1.6055493,199.55299,0.28397924,0.67372108
100,1.6055539,158.42841,0.32632256,0.83171058
100,1.6055539,125.84567,0.39097866,1.0283124
100,1.6055566,100.03201,0.48584867,1.2599335
100,1.6055554,79.415512,0.62500346,1.5356163
100,1.6055307,63.082298,0.82441562,1.8483087
100,1.6055011,50.144421,1.1076159,2.1857345
100,1.6054548,39.808914,1.4886426,2.5258837
100,1.605427,31.629555,1.9792951,2.8215408
100,1.6053801,25.104433,2.561595,3.0283444
100,1.6053537,19.955299,3.1860867,3.10624
100,1.60534,15.857577,3.798615,3.0569763
100,1.6053362,12.600809,4.3499298,2.9084015
100,1.6053526,10.003201,4.8217707,2.7024951
100,1.6054034,7.9395323,5.2140045,2.4734306
100,1.6054535,6.3105812,5.5316339,2.2537479
100,1.6055199,5.0080128,5.7944932,2.0462372
100,1.6056756,3.9778516,6.0149736,1.8625046
100,1.6058062,3.1629555,6.1991286,1.7033105
100,1.6059458,2.5136747,6.353745,1.567391
100,1.606076,1.99553,6.4839077,1.4532478
100,1.6061076,1.5853286,6.5763025,1.3617946
100,1.6063192,1.2596742,6.6490474,1.2876971
100,1.6063529,1.0000639,6.7000418,1.2399242
100,1.606542,0.79363066,6.7318439,1.2091293
100,1.6067516,0.63090527,6.745934,1.1990061
100,1.6067796,0.50154078,6.7709355,1.2144759
100,1.6068811,0.39774463,6.7765074,1.2388198
100,1.6070954,0.3161931,6.7867332,1.2803322
100,1.6073071,0.25122195,6.7895088,1.3325591
100,1.6074195,0.19933917,6.7957172,1.3887671
100,1.6074207,0.15860692,6.7815638,1.44469
100,1.6074078,0.12593903,6.7141709,1.4844356
100,1.6074687,0.10007046,6.6169162,1.5100591
